Quantity,Price_per_Unit,Total_Amount,Discount,Payment_Method,Customer_Category,Customer_Age,Customer_Gender,Month,Product_Demand_Score,Cross_Sell_Potential,Product_Biscuit,Product_Butter,Product_Cheese,Product_Chocolate,Product_Coffee,Product_Coke,Product_Juice,Product_Maggie,Product_Milk,Product_Oil,Product_Paneer,Product_Pepsi,Product_Rice,Product_Salt,Product_Shampoo,Product_Soap,Product_Sugar,Product_Tea,Product_Toothpaste,Store_Location_Bangalore,Store_Location_Chennai,Store_Location_Delhi,Store_Location_Hyderabad,Store_Location_Kolkata,Store_Location_Mumbai,Store_Location_Pune,Sales_Quarter_Q2,Sales_Quarter_Q3,Sales_Quarter_Q4,Transaction_ID,Customer_ID,Store_Location
0.0,0.5336721987466062,0.0555053779267495,0.25,4,0,0.6086956521739131,1,4,0.0444444444444444,0.3888888888888889,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,T10000,C1,Unknown
1.0,0.7663053463163697,0.6555339234222481,0.75,0,1,0.3478260869565217,0,1,0.5222222222222221,0.5555555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,T10001,C2,Unknown
0.875,0.9796272480453998,0.8283523673805271,0.25,1,1,0.3260869565217391,0,6,0.8555555555555555,0.9222222222222224,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,T10002,C3,Unknown
0.5,0.7743074693285973,0.4104217819971588,0.25,2,2,0.9565217391304348,0,10,0.788888888888889,0.7555555555555555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,T10003,C4,Unknown
0.0,0.8466940208626779,0.0927282580334383,0.0,4,2,0.4347826086956522,0,4,0.3444444444444444,0.0222222222222222,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,T10004,C5,Unknown
0.125,0.0581174597342152,0.0143061995017919,0.25,1,2,0.9130434782608696,1,4,0.7333333333333333,0.3444444444444444,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,T10005,C6,Unknown
0.375,0.7796762406352706,0.3476484533024685,0.0,4,2,0.7173913043478262,1,1,0.6666666666666666,0.1777777777777778,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,T10006,C7,Unknown
0.0,0.072325310796742,0.0081310059834034,0.0,4,2,0.4347826086956522,0,1,0.5333333333333332,0.4333333333333334,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,T10007,C8,Unknown
0.125,0.1435482883213913,0.0302470746442406,0.5,3,2,0.4130434782608696,0,9,0.977777777777778,0.0666666666666666,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,T10008,C9,Unknown
0.125,0.2448200543001204,0.047262866101555,0.75,1,0,0.5652173913043479,1,8,0.8555555555555555,0.0333333333333333,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,T10009,C10,Unknown
